Month,Fleet,Size
2025-05-01,Waymo,1500
2025-05-01,Tesla,0
2025-06-01,Waymo,1500
2025-06-01,Tesla,15
2025-07-01,Waymo,1500
2025-07-01,Tesla,20
2025-08-01,Waymo,1500
2025-08-01,Tesla,150
2025-09-01,Waymo,1500
2025-09-01,Tesla,330
2025-10-01,Waymo,1500
2025-10-01,Tesla,725
2025-11-01,Waymo,1500
2025-11-01,Tesla,1592
2025-12-01,Waymo,1500
2025-12-01,Tesla,3500
2026-01-01,Waymo,1500
2026-01-01,Tesla,5292
2026-02-01,Waymo,1682
2026-02-01,Tesla,8002
2026-03-01,Waymo,1864
2026-03-01,Tesla,12100
2026-04-01,Waymo,2045
2026-04-01,Tesla,18297
2026-05-01,Waymo,2227
2026-05-01,Tesla,27666
2026-06-01,Waymo,2409
2026-06-01,Tesla,41833
2026-07-01,Waymo,2591
2026-07-01,Tesla,63255
2026-08-01,Waymo,2773
2026-08-01,Tesla,95647
2026-09-01,Waymo,2955
2026-09-01,Tesla,144625
2026-10-01,Waymo,3136
2026-10-01,Tesla,218685
2026-11-01,Waymo,3318
2026-11-01,Tesla,330670
2026-12-01,Waymo,3500
2026-12-01,Tesla,500000
2027-01-01,Waymo,3500
2027-01-01,Tesla,561231
2027-02-01,Waymo,3682
2027-02-01,Tesla,629961
2027-03-01,Waymo,3864
2027-03-01,Tesla,707107
2027-04-01,Waymo,4045
2027-04-01,Tesla,793701
2027-05-01,Waymo,4227
2027-05-01,Tesla,890899
2027-06-01,Waymo,4409
2027-06-01,Tesla,1000000
2027-07-01,Waymo,4591
2027-07-01,Tesla,1122462
2027-08-01,Waymo,4773
2027-08-01,Tesla,1259921
